window_end_date,expert_id,feature,importance
2022-04-28,3,bitcoin,0.05096988
2022-06-28,0,Close,0.054496907
2022-06-28,0,Volume,0.049137034
2022-06-28,0,bitcoin,0.013094238
2022-06-28,1,Close,0.054047834
2022-06-28,1,Volume,0.05132467
2022-06-28,1,bitcoin,0.049464714
2022-06-28,2,Close,0.05230978
2022-06-28,2,Volume,0.050756436
2022-06-28,2,bitcoin,0.05413534
2022-06-28,3,Close,0.04989818
2022-06-28,3,Volume,0.054521848
2022-06-28,3,bitcoin,0.05096988
2022-08-28,0,Close,0.054496907
2022-08-28,0,Volume,0.049137034
2022-08-28,0,bitcoin,0.0150030935
2022-08-28,1,Close,0.054047834
2022-08-28,1,Volume,0.05132467
2022-08-28,1,bitcoin,0.049464714
2022-08-28,2,Close,0.05230978
2022-08-28,2,Volume,0.050756436
2022-08-28,2,bitcoin,0.05413534
2022-08-28,3,Close,0.04989818
2022-08-28,3,Volume,0.054521848
2022-08-28,3,bitcoin,0.05096988
2022-10-28,0,Close,0.054496907
2022-10-28,0,Volume,0.049137034
2022-10-28,0,bitcoin,0.016702289
2022-10-28,1,Close,0.054047834
2022-10-28,1,Volume,0.05132467
2022-10-28,1,bitcoin,0.049464714
2022-10-28,2,Close,0.05230978
2022-10-28,2,Volume,0.050756436
2022-10-28,2,bitcoin,0.05413534
2022-10-28,3,Close,0.04989818
2022-10-28,3,Volume,0.054521848
2022-10-28,3,bitcoin,0.05096988
2022-12-28,0,Close,0.054496907
2022-12-28,0,Volume,0.049137034
2022-12-28,0,bitcoin,0.011279618
2022-12-28,1,Close,0.054047834
2022-12-28,1,Volume,0.05132467
2022-12-28,1,bitcoin,0.049464714
2022-12-28,2,Close,0.05230978
2022-12-28,2,Volume,0.050756436
2022-12-28,2,bitcoin,0.05413534
2022-12-28,3,Close,0.04989818
2022-12-28,3,Volume,0.054521848
2022-12-28,3,bitcoin,0.05096988
2023-02-28,0,Close,0.054496907
2023-02-28,0,Volume,0.049137034
2023-02-28,0,bitcoin,0.014163901
2023-02-28,1,Close,0.054047834
2023-02-28,1,Volume,0.05132467
2023-02-28,1,bitcoin,0.049464714
2023-02-28,2,Close,0.05230978
2023-02-28,2,Volume,0.050756436
2023-02-28,2,bitcoin,0.05413534
2023-02-28,3,Close,0.04989818
2023-02-28,3,Volume,0.054521848
2023-02-28,3,bitcoin,0.05096988
2023-04-28,0,Close,0.054496907
2023-04-28,0,Volume,0.049137034
2023-04-28,0,bitcoin,0.012834382
2023-04-28,1,Close,0.054047834
2023-04-28,1,Volume,0.05132467
2023-04-28,1,bitcoin,0.049464714
2023-04-28,2,Close,0.05230978
2023-04-28,2,Volume,0.050756436
2023-04-28,2,bitcoin,0.05413534
2023-04-28,3,Close,0.04989818
2023-04-28,3,Volume,0.054521848
2023-04-28,3,bitcoin,0.05096988
2023-06-28,0,Close,0.054496907
2023-06-28,0,Volume,0.049137034
2023-06-28,0,bitcoin,0.018828243
2023-06-28,1,Close,0.054047834
2023-06-28,1,Volume,0.05132467
2023-06-28,1,bitcoin,0.049464714
2023-06-28,2,Close,0.05230978
2023-06-28,2,Volume,0.050756436
2023-06-28,2,bitcoin,0.05413534
2023-06-28,3,Close,0.04989818
2023-06-28,3,Volume,0.054521848
2023-06-28,3,bitcoin,0.05096988
2023-08-28,0,Close,0.054496907
2023-08-28,0,Volume,0.049137034
2023-08-28,0,bitcoin,0.012580446
2023-08-28,1,Close,0.054047834
2023-08-28,1,Volume,0.05132467
2023-08-28,1,bitcoin,0.049464714
2023-08-28,2,Close,0.05230978
2023-08-28,2,Volume,0.050756436
2023-08-28,2,bitcoin,0.05413534
2023-08-28,3,Close,0.04989818
2023-08-28,3,Volume,0.054521848
2023-08-28,3,bitcoin,0.05096988
2023-10-28,0,Close,0.054496907
2023-10-28,0,Volume,0.049137034
2023-10-28,0,bitcoin,0.011778839
2023-10-28,1,Close,0.054047834
2023-10-28,1,Volume,0.05132467
2023-10-28,1,bitcoin,0.049464714
2023-10-28,2,Close,0.05230978
2023-10-28,2,Volume,0.050756436
2023-10-28,2,bitcoin,0.05413534
2023-10-28,3,Close,0.04989818
2023-10-28,3,Volume,0.054521848
2023-10-28,3,bitcoin,0.05096988
2023-12-28,0,Close,0.054496907
2023-12-28,0,Volume,0.049137034
2023-12-28,0,bitcoin,0.010619744
2023-12-28,1,Close,0.054047834
2023-12-28,1,Volume,0.05132467
2023-12-28,1,bitcoin,0.049464714
2023-12-28,2,Close,0.05230978
2023-12-28,2,Volume,0.050756436
2023-12-28,2,bitcoin,0.05413534
2023-12-28,3,Close,0.04989818
2023-12-28,3,Volume,0.054521848
2023-12-28,3,bitcoin,0.05096988
2024-02-28,0,Close,0.054496907
2024-02-28,0,Volume,0.049137034
2024-02-28,0,bitcoin,0.008516141
2024-02-28,1,Close,0.054047834
2024-02-28,1,Volume,0.05132467
2024-02-28,1,bitcoin,0.049464714
2024-02-28,2,Close,0.05230978
2024-02-28,2,Volume,0.050756436
2024-02-28,2,bitcoin,0.05413534
2024-02-28,3,Close,0.04989818
2024-02-28,3,Volume,0.054521848
2024-02-28,3,bitcoin,0.05096988
2024-04-28,0,Close,0.054496907
2024-04-28,0,Volume,0.049137034
2024-04-28,0,bitcoin,0.007077732
2024-04-28,1,Close,0.054047834
2024-04-28,1,Volume,0.05132467
2024-04-28,1,bitcoin,0.049464714
2024-04-28,2,Close,0.05230978
2024-04-28,2,Volume,0.050756436
2024-04-28,2,bitcoin,0.05413534
2024-04-28,3,Close,0.04989818
2024-04-28,3,Volume,0.054521848
2024-04-28,3,bitcoin,0.05096988
